open_time,close_time,open,high,low,close,volume,currency_pair
2024-05-07,2024-05-07 23:59:59.999,63165.18000000,64422.41000000,62261.00000000,62312.08000000,25598.79472000,BTCUSDT
2024-05-08,2024-05-08 23:59:59.999,62312.07000000,63020.22000000,60888.00000000,61193.03000000,26121.19004000,BTCUSDT
2024-05-09,2024-05-09 23:59:59.999,61193.03000000,63429.03000000,60630.00000000,63074.01000000,30660.80610000,BTCUSDT
2024-05-10,2024-05-10 23:59:59.999,63074.00000000,63469.13000000,60187.12000000,60799.99000000,36529.34025000,BTCUSDT
2024-05-11,2024-05-11 23:59:59.999,60799.99000000,61515.00000000,60487.09000000,60825.99000000,13374.56936000,BTCUSDT
2024-05-12,2024-05-12 23:59:59.999,60825.99000000,61888.00000000,60610.00000000,61483.99000000,12753.13236000,BTCUSDT
2024-05-13,2024-05-13 23:59:59.999,61484.00000000,63450.00000000,60749.21000000,62940.08000000,32733.41839000,BTCUSDT
2024-05-14,2024-05-14 23:59:59.999,62940.09000000,63118.36000000,61142.77000000,61577.49000000,29088.72041000,BTCUSDT
2024-05-15,2024-05-15 23:59:59.999,61577.49000000,66444.16000000,61319.47000000,66206.50000000,43559.74719000,BTCUSDT
2024-05-16,2024-05-16 23:59:59.999,66206.51000000,66752.01000000,64602.77000000,65235.21000000,31106.36710000,BTCUSDT
2024-05-17,2024-05-17 23:59:59.999,65235.21000000,67451.20000000,65106.38000000,67024.00000000,26292.23409000,BTCUSDT
2024-05-18,2024-05-18 23:59:59.999,67024.00000000,67400.01000000,66600.00000000,66915.20000000,14441.25774000,BTCUSDT
2024-05-19,2024-05-19 23:59:59.999,66915.20000000,67700.00000000,65857.25000000,66274.01000000,18025.30409000,BTCUSDT
2024-05-20,2024-05-20 23:59:59.999,66274.00000000,71515.56000000,66060.31000000,71446.62000000,50816.70110000,BTCUSDT
2024-05-21,2024-05-21 23:59:59.999,71446.62000000,71979.00000000,69162.94000000,70148.34000000,49607.43360000,BTCUSDT
2024-05-22,2024-05-22 23:59:59.999,70148.34000000,70666.00000000,68842.19000000,69166.62000000,27673.18026000,BTCUSDT
2024-05-23,2024-05-23 23:59:59.999,69166.62000000,70096.12000000,66312.16000000,67969.65000000,40513.17374000,BTCUSDT
2024-05-24,2024-05-24 23:59:59.999,67969.66000000,69250.00000000,66600.12000000,68549.99000000,28095.83664000,BTCUSDT
2024-05-25,2024-05-25 23:59:59.999,68549.99000000,69610.00000000,68500.00000000,69290.57000000,12130.39418000,BTCUSDT
2024-05-26,2024-05-26 23:59:59.999,69290.56000000,69562.23000000,68128.01000000,68507.67000000,11872.11797000,BTCUSDT
2024-05-27,2024-05-27 23:59:59.999,68507.67000000,70687.56000000,68250.00000000,69436.43000000,23136.92737000,BTCUSDT
2024-05-28,2024-05-28 23:59:59.999,69436.43000000,69591.81000000,67277.91000000,68398.39000000,32622.97042000,BTCUSDT
2024-05-29,2024-05-29 23:59:59.999,68398.40000000,68935.68000000,67124.65000000,67652.42000000,23159.83149000,BTCUSDT
2024-05-30,2024-05-30 23:59:59.999,67652.41000000,69500.00000000,67128.00000000,68352.17000000,28478.21840000,BTCUSDT
2024-05-31,2024-05-31 23:59:59.999,68352.17000000,69044.10000000,66670.00000000,67540.01000000,26690.32184000,BTCUSDT
2024-06-01,2024-06-01 23:59:59.999,67540.01000000,67900.00000000,67428.44000000,67766.85000000,8837.66133000,BTCUSDT
2024-06-02,2024-06-02 23:59:59.999,67766.84000000,68460.00000000,67257.47000000,67765.63000000,15426.32529000,BTCUSDT
2024-06-03,2024-06-03 23:59:59.999,67765.62000000,70288.00000000,67612.48000000,68809.90000000,29633.37400000,BTCUSDT
2024-06-04,2024-06-04 23:59:59.999,68809.89000000,71063.45000000,68567.32000000,70537.84000000,29619.78489000,BTCUSDT
2024-06-05,2024-06-05 23:59:59.999,70537.83000000,71758.00000000,70383.66000000,71108.00000000,28703.18082000,BTCUSDT
2024-06-06,2024-06-06 23:59:59.999,71108.00000000,71280.00000000,70800.00000000,71269.33000000,6951.67834000,BTCUSDT
2024-05-07,2024-05-07 23:59:59.999,3062.59000000,3129.85000000,2998.00000000,3005.69000000,298796.68290000,ETHUSDT
2024-05-08,2024-05-08 23:59:59.999,3005.69000000,3038.15000000,2936.48000000,2974.21000000,266934.81250000,ETHUSDT
2024-05-09,2024-05-09 23:59:59.999,2974.20000000,3059.00000000,2950.77000000,3036.23000000,238561.74620000,ETHUSDT
2024-05-10,2024-05-10 23:59:59.999,3036.24000000,3053.89000000,2878.03000000,2909.99000000,327855.87580000,ETHUSDT
2024-05-11,2024-05-11 23:59:59.999,2909.98000000,2945.67000000,2886.46000000,2912.45000000,138163.10870000,ETHUSDT
2024-05-12,2024-05-12 23:59:59.999,2912.45000000,2955.20000000,2901.17000000,2929.29000000,107670.63230000,ETHUSDT
2024-05-13,2024-05-13 23:59:59.999,2929.30000000,2996.40000000,2864.76000000,2950.99000000,368664.76480000,ETHUSDT
2024-05-14,2024-05-14 23:59:59.999,2950.99000000,2960.60000000,2862.00000000,2881.93000000,269675.30370000,ETHUSDT
2024-05-15,2024-05-15 23:59:59.999,2881.93000000,3041.36000000,2863.75000000,3032.55000000,350254.31880000,ETHUSDT
2024-05-16,2024-05-16 23:59:59.999,3032.55000000,3041.24000000,2922.80000000,2944.70000000,293874.15130000,ETHUSDT
2024-05-17,2024-05-17 23:59:59.999,2944.70000000,3120.00000000,2933.06000000,3092.01000000,357724.77310000,ETHUSDT
2024-05-18,2024-05-18 23:59:59.999,3092.00000000,3146.98000000,3083.61000000,3122.94000000,199976.54560000,ETHUSDT
2024-05-19,2024-05-19 23:59:59.999,3122.94000000,3136.64000000,3053.38000000,3071.19000000,166145.01020000,ETHUSDT
